AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2023;1;Andalucía;Europa;Croacia;1051.0;6038.0;5.7
2023;1;Andalucía;Europa;Dinamarca;15481.0;133024.0;8.6
2023;1;Andalucía;Europa;Eslovenia;309.0;2018.0;6.5
2023;1;Andalucía;Europa;Estonia;1894.0;18188.0;9.6
2023;1;Andalucía;Europa;Finlandia;11219.0;117944.0;10.5
2023;1;Andalucía;Europa;Francia;62343.0;569053.0;9.1
2023;1;Andalucía;Europa;Georgia;304.0;2548.0;8.4
2023;1;Andalucía;Europa;Grecia;1224.0;7380.0;6.0
2023;1;Andalucía;Europa;Hungría;2930.0;21186.0;7.2
2023;1;Andalucía;Europa;Irlanda;22431.0;175898.0;7.8
2023;1;Andalucía;Europa;Islandia;138.0;1372.0;9.9
2023;1;Andalucía;Europa;Italia;31406.0;208021.0;6.6
2023;1;Andalucía;Europa;Letonia;2776.0;28014.0;10.1
2023;1;Andalucía;Europa;Liechtenstein;1325.0;12307.0;9.3
2023;1;Andalucía;Europa;Lituania;1888.0;14672.0;7.8
2023;1;Andalucía;Europa;Luxemburgo;5299.0;59914.0;11.3
2023;1;Andalucía;Europa;Macedonia del Norte;65.0;442.0;6.8
2023;1;Andalucía;Europa;Malta;451.0;3524.0;7.8
2023;1;Andalucía;Europa;Moldavia;147.0;1224.0;8.3
2023;1;Andalucía;Europa;Montenegro;119.0;596.0;5.0
2023;1;Andalucía;Europa;Noruega;7563.0;63147.0;8.3
2023;1;Andalucía;Europa;Países Bajos;69051.0;595821.0;8.6
2023;1;Andalucía;Europa;Polonia;16240.0;109495.0;6.7
2023;1;Andalucía;Europa;Portugal;19359.0;110249.0;5.7
2023;1;Andalucía;Europa;Reino Unido;106529.0;891213.0;8.15
2023;1;Andalucía;Europa;República Checa;2697.0;22634.0;8.4
2023;1;Andalucía;Europa;República Eslovaca;868.0;6065.0;7.0
2023;1;Andalucía;Europa;Rumanía;4673.0;41432.0;8.9
2023;1;Andalucía;Europa;Rusia;2426.0;21501.0;8.9
2023;1;Andalucía;Europa;Serbia;342.0;1966.0;5.7
2023;1;Andalucía;Europa;Suecia;33489.0;300694.0;9.0
2023;1;Andalucía;Europa;Suiza;12107.0;104827.0;8.7
2023;1;Andalucía;Europa;Turquía;1193.0;4724.0;4.0
2023;1;Andalucía;Oceanía;Australia;767.0;5769.0;7.5
2023;1;Andalucía;Oceanía;Nueva Zelanda;138.0;1230.0;8.9
2023;1;Andalucía;África;Argelia;1808.0;10940.0;6.1
2023;1;Andalucía;África;Burkina Faso;41.0;378.0;9.2
2023;1;Andalucía;África;Costa de Marfil;45.0;288.0;6.4
2023;1;Andalucía;África;Egipto;428.0;1889.0;4.4
2023;1;Andalucía;África;Ghana;129.0;1215.0;9.4
2023;1;Andalucía;África;Guinea;33.0;205.0;6.2
2023;1;Andalucía;África;Guinea Ecuatorial;48.0;658.0;13.7
2023;1;Andalucía;África;Kenia;103.0;635.0;6.2
2023;1;Andalucía;África;Mali;407.0;4582.0;11.3
2023;1;Andalucía;África;Marruecos;40242.0;205485.0;5.1
2023;1;Andalucía;África;Mauritania;138.0;1247.0;9.0
2023;1;Andalucía;África;Nigeria;295.0;1998.0;6.8
2023;1;Andalucía;África;Senegal;642.0;4874.0;7.6
2023;1;Andalucía;África;Sudáfrica;199.0;1399.0;7.0
2023;1;Andalucía;África;Túnez;199.0;1164.0;5.8
2023;1;Aragón;América;Argentina;218.0;1963.0;9.0
2023;1;Aragón;América;Brasil;186.0;1817.0;9.8
2023;1;Aragón;América;Canadá;78.0;602.0;7.7
2023;1;Aragón;América;Chile;76.0;665.0;8.8
2023;1;Aragón;América;Colombia;699.0;9080.0;13.0
2023;1;Aragón;América;Costa Rica;30.0;246.0;8.2
2023;1;Aragón;América;Ecuador;81.0;983.0;12.1
2023;1;Aragón;América;Estados Unidos de América;1498.0;15240.0;10.2
2023;1;Aragón;América;Honduras;38.0;408.0;10.7
2023;1;Aragón;América;México;340.0;2678.0;7.9
2023;1;Aragón;América;Nicaragua;146.0;1573.0;10.8
2023;1;Aragón;América;Panamá;38.0;391.0;10.3
2023;1;Aragón;América;Perú;112.0;1419.0;12.7
2023;1;Aragón;América;República Dominicana;40.0;421.0;10.5
2023;1;Aragón;América;Venezuela;122.0;2159.0;17.7
2023;1;Aragón;Asia;China;274.0;2985.0;10.9
2023;1;Aragón;Asia;Corea;164.0;669.0;4.1
2023;1;Aragón;Asia;Emiratos Árabes Unidos;40.0;257.0;6.4
2023;1;Aragón;Asia;India;68.0;533.0;7.8
2023;1;Aragón;Asia;Japón;138.0;1243.0;9.0
2023;1;Aragón;Asia;Pakistán;32.0;232.0;7.3
2023;1;Aragón;Asia;Qatar;32.0;195.0;6.1
2023;1;Aragón;Europa;Alemania;6104.0;55696.0;9.1
2023;1;Aragón;Europa;Andorra;406.0;2251.0;5.5
2023;1;Aragón;Europa;Austria;1597.0;13391.0;8.4
2023;1;Aragón;Europa;Belarús;41.0;177.0;4.3
2023;1;Aragón;Europa;Bulgaria;478.0;3219.0;6.7
2023;1;Aragón;Europa;Bélgica;1712.0;13496.0;7.9
2023;1;Aragón;Europa;Croacia;51.0;224.0;4.4
2023;1;Aragón;Europa;Dinamarca;1204.0;10252.0;8.5
2023;1;Aragón;Europa;Eslovenia;126.0;580.0;4.6
2023;1;Aragón;Europa;Estonia;195.0;1332.0;6.8
2023;1;Aragón;Europa;Finlandia;128.0;1342.0;10.5
